application-positionExternalId,application-candidateExternalId,application-Stage
"48692","41820","SHORTLISTED"
"48692","44306","SHORTLISTED"
"48692","48853","SHORTLISTED"
"48699","48817","SHORTLISTED"
"48939","43628","SHORTLISTED"
"48939","48081","SHORTLISTED"
"48940","47366","FIRST_INTERVIEW"
"48940","59899","FIRST_INTERVIEW"
"49116","44306","SHORTLISTED"
"49175","49180","FIRST_INTERVIEW"
"49175","49181","FIRST_INTERVIEW"
"49175","49229","SENT"
"49238","49239","SENT"
"49238","49240","SENT"
"49246","48818","SHORTLISTED"
"49291","43309","SHORTLISTED"
"49291","57397","SENT"
"49429","67599","SHORTLISTED"
"49756","43931","SHORTLISTED"
"49782","56536","FIRST_INTERVIEW"
"49925","59902","SHORTLISTED"
"49925","59909","SHORTLISTED"
"51008","51009","FIRST_INTERVIEW"
"51008","60401","SENT"
"51299","40894","SHORTLISTED"
"51299","40935","SHORTLISTED"
"51299","43372","SHORTLISTED"
"51299","51769","SHORTLISTED"
"51835","42509","SENT"
"53147","52043","SENT"
"53147","56602","SENT"
"56499","47661","SENT"
"56499","61225","FIRST_INTERVIEW"
"56499","64290","FIRST_INTERVIEW"
"56499","67461","FIRST_INTERVIEW"
"56499","70287","SENT"
"56499","70857","FIRST_INTERVIEW"
"57269","59898","SENT"
"57269","67473","FIRST_INTERVIEW"
"57269","68427","FIRST_INTERVIEW"
"57542","57785","FIRST_INTERVIEW"
"57838","41737","SHORTLISTED"
"57838","43943","SHORTLISTED"
"57838","50035","SHORTLISTED"
"57838","57854","SHORTLISTED"
"57838","59899","SHORTLISTED"
"57838","60198","SHORTLISTED"
"57838","60218","SHORTLISTED"
"57838","60485","SHORTLISTED"
"57838","63759","SHORTLISTED"
"57838","66410","SENT"
"57838","66566","SENT"
"57838","66584","SENT"
"57872","48000","SENT"
"57872","58046","SENT"
"57894","67419","SHORTLISTED"
"57894","69040","SHORTLISTED"
"57894","70416","SHORTLISTED"
"57894","70418","SHORTLISTED"
"57894","70496","SHORTLISTED"
"58019","43587","SENT"
"58019","48081","SENT"
"58420","43587","SENT"
"58420","56433","SENT"
"58420","56453","SENT"
"58420","57802","FIRST_INTERVIEW"
"58420","61965","SENT"
"58946","56653","FIRST_INTERVIEW"
"59450","43897","SHORTLISTED"
"59450","51769","SHORTLISTED"
"59450","59370","SHORTLISTED"
"59450","59451","FIRST_INTERVIEW"
"59450","59453","SENT"
"59450","59497","SHORTLISTED"
"59450","59572","SHORTLISTED"
"59450","61367","FIRST_INTERVIEW"
"59450","61640","SHORTLISTED"
"59450","62613","SENT"
"59520","59505","SHORTLISTED"
"59520","59506","SHORTLISTED"
"59520","59509","SHORTLISTED"
"59520","59528","SHORTLISTED"
