application-positionExternalId,application-candidateExternalId,application-Stage,actioned_date
"47220","60980","FIRST_INTERVIEW","2008-11-05"
"47220","64044","SHORTLISTED","2008-09-18"
"47220","71313","SHORTLISTED","2008-11-12"
"47220","72089","SHORTLISTED","2008-11-19"
"47228","62775","SHORTLISTED","2008-09-03"
"47259","47210","SHORTLISTED","2008-07-07"
"47259","50035","SHORTLISTED","2008-07-15"
"47499","47501","SENT","2008-06-27"
"47656","42516","SHORTLISTED","2008-07-02"
"47656","43628","SHORTLISTED","2008-06-30"
"47656","44586","SHORTLISTED","2008-07-01"
"47656","45241","SHORTLISTED","2008-06-30"
"47656","45268","SHORTLISTED","2008-06-30"
"47656","47987","SHORTLISTED","2008-09-03"
"47656","48013","SHORTLISTED","2008-07-01"
"47656","51993","SHORTLISTED","2008-07-18"
"47656","57652","SHORTLISTED","2008-07-25"
"47656","62304","SHORTLISTED","2008-09-15"
"47656","68801","SHORTLISTED","2008-10-14"
"47656","72193","SHORTLISTED","2009-01-07"
"47656","72511","SHORTLISTED","2008-11-21"
"47656","72526","SHORTLISTED","2008-11-21"
"47656","74494","SHORTLISTED","2008-12-11"
"47656","84832","SHORTLISTED","2009-04-16"
"47656","85466","SHORTLISTED","2009-05-08"
"47656","85479","SHORTLISTED","2009-04-16"
"47656","85485","SHORTLISTED","2009-04-14"
"47656","86251","SHORTLISTED","2009-04-21"
"47656","86274","SHORTLISTED","2009-04-21"
"47657","69071","SHORTLISTED","2008-10-17"
"47694","38075","FIRST_INTERVIEW","2009-11-02"
"47694","41663","FIRST_INTERVIEW","2009-10-26"
"47745","47661","SENT","2008-06-30"
"47752","43914","SENT","2008-06-30"
"47752","47750","SENT","2008-06-30"
"47752","48002","SENT","2008-07-01"
"47857","47969","OFFERED","2008-09-08"
"47857","48002","SHORTLISTED","2008-07-01"
"47857","48081","SENT","2008-07-01"
"47857","48667","SENT","2008-07-03"
"47857","63895","FIRST_INTERVIEW","2008-09-19"
"47927","48114","SENT","2008-07-01"
"47927","48681","SENT","2008-07-04"
"47990","47991","FIRST_INTERVIEW","2008-07-07"
"47990","62828","OFFERED","2008-08-29"
"48048","40324","FIRST_INTERVIEW","2008-07-04"
"48048","40498","SENT","2008-07-01"
"48048","44586","SENT","2008-07-10"
"48048","46625","SENT","2008-07-01"
"48072","43628","SENT","2008-08-13"
"48072","47969","SHORTLISTED","2008-07-01"
"48072","48002","SHORTLISTED","2008-07-01"
"48072","48009","SHORTLISTED","2008-07-03"
"48072","48081","SHORTLISTED","2008-07-01"
"48072","57405","SENT","2008-07-24"
"48281","41854","SHORTLISTED","2008-07-02"
"48327","46625","SENT","2008-07-02"
"48457","48081","SENT","2008-07-02"
"48467","48817","SENT","2008-07-03"
"48467","49730","SENT","2008-07-09"
"48572","49154","SHORTLISTED","2008-07-07"
"48589","44306","SHORTLISTED","2008-07-24"
"48602","48494","SHORTLISTED","2008-07-02"
"48602","62072","SHORTLISTED","2008-08-22"
"48602","64400","SHORTLISTED","2008-09-11"
"48692","41820","SHORTLISTED","2008-07-08"
"48692","44306","SHORTLISTED","2008-07-07"
"48692","48853","SHORTLISTED","2008-07-03"
"48699","48817","SHORTLISTED","2008-07-03"
"48939","43628","SHORTLISTED","2008-07-25"
"48939","48081","SHORTLISTED","2008-07-09"
"48940","47366","FIRST_INTERVIEW","2008-08-26"
"48940","59899","FIRST_INTERVIEW","2008-08-18"
"49116","44306","SHORTLISTED","2008-07-07"
"49175","49180","FIRST_INTERVIEW","2008-07-07"
"49175","49181","FIRST_INTERVIEW","2008-07-07"
"49175","49229","SENT","2008-07-07"
"49238","49239","SENT","2008-07-07"
"49238","49240","SENT","2008-07-07"
"49246","48818","SHORTLISTED","2008-07-08"
"49291","43309","SHORTLISTED","2008-07-10"
"49291","57397","SENT","2008-07-24"
"49429","67599","SHORTLISTED","2008-10-07"
"49756","43931","SHORTLISTED","2008-07-09"
"49782","56536","FIRST_INTERVIEW","2008-07-25"
"49925","59902","SHORTLISTED","2008-08-11"
"49925","59909","SHORTLISTED","2008-08-14"
"51008","51009","FIRST_INTERVIEW","2008-07-14"
"51008","60401","SENT","2008-08-13"
"51299","40894","SHORTLISTED","2008-07-17"
"51299","40935","SHORTLISTED","2008-07-16"
"51299","43372","SHORTLISTED","2008-07-17"
"51299","51769","SHORTLISTED","2008-07-22"
"51835","42509","SENT","2008-07-24"
"53147","52043","SENT","2008-07-18"
"53147","56602","SENT","2008-07-22"
"56499","47661","SENT","2008-07-28"
"56499","61225","FIRST_INTERVIEW","2008-09-29"
"56499","64290","FIRST_INTERVIEW","2008-10-02"
"56499","67461","FIRST_INTERVIEW","2008-10-06"
"56499","70287","SENT","2008-10-31"
"56499","70857","FIRST_INTERVIEW","2008-11-13"
"57269","59898","SENT","2008-08-11"
"57269","67473","FIRST_INTERVIEW","2008-10-06"
"57269","68427","FIRST_INTERVIEW","2008-11-06"
"57542","57785","FIRST_INTERVIEW","2008-08-05"
"57838","41737","SHORTLISTED","2008-08-15"
"57838","43943","SHORTLISTED","2008-07-29"
"57838","50035","SHORTLISTED","2008-07-28"
"57838","57854","SHORTLISTED","2008-07-28"
"57838","59899","SHORTLISTED","2008-08-13"
"57838","60198","SHORTLISTED","2008-08-18"
"57838","60218","SHORTLISTED","2008-08-14"
"57838","60485","SHORTLISTED","2008-08-18"
"57838","63759","SHORTLISTED","2008-09-03"
"57838","66410","SENT","2008-10-01"
"57838","66566","SENT","2008-10-01"
"57838","66584","SENT","2008-10-01"
