application-positionExternalId,application-candidateExternalId,application-stage
291,75,SHORTLISTED
343,75,SHORTLISTED
410,75,SHORTLISTED
2332,75,SHORTLISTED
446,75,SHORTLISTED
501,75,SHORTLISTED
187,75,SHORTLISTED
457,75,SHORTLISTED
524,75,SHORTLISTED
168,75,SHORTLISTED
284,75,SHORTLISTED
380,75,SHORTLISTED
438,75,SHORTLISTED
464,75,SHORTLISTED
217,75,SHORTLISTED
336,75,SHORTLISTED
963,75,SHORTLISTED
2055,75,SHORTLISTED
39,76,SHORTLISTED
164,76,SHORTLISTED
309,76,SHORTLISTED
498,76,SHORTLISTED
98,76,SHORTLISTED
90,76,SHORTLISTED
281,76,SHORTLISTED
714,76,SHORTLISTED
137,76,SHORTLISTED
469,77,SHORTLISTED
492,77,SHORTLISTED
410,77,SHORTLISTED
438,78,SHORTLISTED
499,78,SHORTLISTED
560,78,SHORTLISTED
426,78,SHORTLISTED
356,78,FIRST_INTERVIEW
414,78,SHORTLISTED
573,78,SHORTLISTED
60,79,SHORTLISTED
309,79,SHORTLISTED
90,80,SHORTLISTED
714,80,SHORTLISTED
401,80,SHORTLISTED
483,80,SHORTLISTED
301,80,SHORTLISTED
261,80,SHORTLISTED
409,80,SHORTLISTED
499,80,SHORTLISTED
763,80,SHORTLISTED
97,80,SHORTLISTED
1068,81,SHORTLISTED
410,81,SHORTLISTED
457,81,SHORTLISTED
631,81,SHORTLISTED
469,81,SHORTLISTED
492,81,SHORTLISTED
309,82,SHORTLISTED
307,83,SHORTLISTED
309,83,SHORTLISTED
457,83,SHORTLISTED
656,84,SHORTLISTED
107,84,SHORTLISTED
97,85,SHORTLISTED
18,85,SHORTLISTED
1772,85,SHORTLISTED
90,85,SHORTLISTED
93,85,SHORTLISTED
305,85,SHORTLISTED
447,85,SHORTLISTED
282,85,SHORTLISTED
337,85,SHORTLISTED
407,85,SHORTLISTED
1150,85,SHORTLISTED
10,85,SHORTLISTED
39,85,SHORTLISTED
164,85,SHORTLISTED
347,85,SHORTLISTED
916,85,SHORTLISTED
231,85,SHORTLISTED
388,85,SHORTLISTED
510,85,SHORTLISTED
98,85,SHORTLISTED
429,85,SHORTLISTED
493,85,SHORTLISTED
